Variable:,pr
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
2006,983.28,875.84,972.95,1063.29,1030.01,996.63,974.64,1065.52,1153.00,991.87,1192.75,1109.25,985.35
2007,1128.83,962.41,1064.27,1285.47,1169.47,1215.93,1208.54,1248.11,1403.70,1216.58,1433.35,1340.67,1217.19
2008,1186.52,1029.06,1151.05,1298.97,1244.13,1228.13,1220.05,1326.69,1442.20,1242.88,1439.08,1342.91,1212.63
2009,1096.71,970.42,1116.20,1180.66,1116.59,1115.59,1080.64,1235.12,1298.00,1090.44,1309.83,1206.98,1093.59
2010,1128.68,936.59,1054.60,1344.49,1157.75,1231.17,1260.04,1262.16,1462.50,1287.63,1492.08,1385.21,1252.60
2011,977.35,816.53,959.68,1126.21,1009.18,1029.35,1049.26,1098.29,1252.70,1081.32,1212.88,1133.13,1036.22
2012,999.65,848.05,969.81,1112.68,1023.76,1083.76,1037.93,1118.15,1209.30,1048.03,1229.03,1177.28,1056.56
2013,939.67,854.10,910.54,1067.41,955.02,962.56,985.40,991.43,1164.80,1013.91,1183.19,1108.92,981.04
2014,1007.58,844.93,959.80,1208.93,1005.88,1103.94,1134.80,1124.66,1325.00,1157.28,1334.60,1222.15,1118.25
2015,922.35,855.58,963.64,1003.95,922.31,887.05,948.39,980.14,1084.10,980.07,1088.76,1004.99,917.28
2016,954.21,872.66,958.39,1007.60,974.33,960.32,960.90,1041.26,1112.70,985.51,1087.47,1025.66,949.16
2017,1031.61,1025.89,1022.18,1062.39,1049.73,996.96,979.09,1070.85,1202.90,998.34,1178.65,1076.80,981.61
2018,1106.88,958.95,1051.55,1173.74,1170.20,1179.29,1120.38,1233.95,1250.40,1117.17,1302.64,1259.43,1146.06
2019,1179.57,951.79,1075.76,1462.43,1207.82,1321.01,1355.53,1327.53,1595.20,1396.17,1623.25,1497.72,1337.41
2020,1112.96,1148.77,1199.97,978.01,1161.96,967.28,927.22,1164.31,1059.00,942.79,1068.36,1023.89,925.13
2021,1015.14,879.79,989.14,1114.51,1038.27,1072.09,1064.45,1130.90,1208.10,1069.72,1256.62,1174.96,1068.35
